City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,288.96,44,40,4.63,AR,1680554532
1,port moresby,-9.4431,147.1797,296.83,100,40,3.09,PG,1680554603
2,butaritari,3.0707,172.7902,301.01,80,97,8.63,KI,1680554603
3,new norfolk,-42.7826,147.0587,284.1,79,100,1.22,AU,1680554603
4,rikitea,-23.1203,-134.9692,299.68,81,90,6.33,PF,1680554454
5,vaini,-21.2,-175.2,300.24,78,20,4.12,TO,1680554603
6,urucara,-2.5364,-57.76,299.86,90,76,0.58,BR,1680554604
7,pevek,69.7008,170.3133,245.09,95,45,3.24,RU,1680554604
8,kodiak,57.79,-152.4072,273.88,93,100,2.57,US,1680554604
9,provideniya,64.3833,-173.3,260.78,88,88,3.54,RU,1680554604
10,mataura,-46.1927,168.8643,287.86,76,89,1.33,NZ,1680554605
11,coihaique,-45.5752,-72.0662,288.49,58,75,2.06,CL,1680554605
12,torbay,47.6666,-52.7314,273.92,75,75,10.29,CA,1680554605
13,nikolskoye,59.7035,30.7861,273.1,95,100,3.64,RU,1680554605
14,arenys de mar,41.5819,2.5494,287.17,76,12,3.56,ES,1680554605
15,punta arenas,-53.15,-70.9167,288.16,67,75,10.29,CL,1680554606
16,college,64.8569,-147.8028,271.52,66,20,5.14,US,1680554606
17,tiksi,71.6872,128.8694,259.98,95,93,2.57,RU,1680554606
18,kavaratti,10.5669,72.642,300.88,69,37,4.7,IN,1680554606
19,kununurra,-15.7667,128.7333,298.14,88,75,2.06,AU,1680554606
20,touros,-5.1989,-35.4608,299.41,76,83,3.4,BR,1680554607
21,berlevag,70.8578,29.0864,274.15,64,0,10.29,NO,1680554607
22,qaanaaq,77.484,-69.3632,250.81,75,9,2.05,GL,1680554607
23,bambous virieux,-20.3428,57.7575,298.83,88,20,1.54,MU,1680554608
24,khani,41.9563,42.9566,278.91,85,96,2.22,GE,1680554608
25,aswan,24.0934,32.907,298.76,12,0,1.54,EG,1680554608
26,huarmey,-10.0681,-78.1522,300.42,71,98,3.4,PE,1680554608
27,waounde,15.2637,-12.8682,307.48,5,15,4.1,SN,1680554608
28,simpang,-1.2667,104.0833,296.54,97,100,0.78,ID,1680554609
29,hermanus,-34.4187,19.2345,289.88,83,22,0.52,ZA,1680554609
30,bredasdorp,-34.5322,20.0403,289.32,81,28,1.14,ZA,1680554609
31,homer,59.6425,-151.5483,275.08,65,100,2.68,US,1680554609
32,havoysund,70.9963,24.6622,274.28,93,81,9.51,NO,1680554609
33,razole,16.4833,81.8333,299.71,85,68,2.53,IN,1680554610
34,geraldton,-28.7667,114.6,292.38,82,45,4.12,AU,1680554610
35,avarua,-21.2078,-159.775,300.18,61,98,3.6,CK,1680554610
36,yala,6.3333,101.25,295.59,89,87,1.12,TH,1680554610
37,tasiilaq,65.6145,-37.6368,270.24,87,100,2.17,GL,1680554610
38,clyde river,70.4692,-68.5914,253.28,71,0,3.6,CA,1680554611
39,hirara,24.8,125.2833,294.07,77,75,4.12,JP,1680554611
40,bluff,-46.6,168.3333,288.04,75,91,5.93,NZ,1680554611
41,souillac,-20.5167,57.5167,298.36,88,20,1.54,MU,1680554611
42,busselton,-33.65,115.3333,288.53,79,24,2.86,AU,1680554611
43,benxi,41.2886,123.765,279.33,47,100,1.78,CN,1680554611
44,visnes,59.3556,5.2242,276.6,86,0,3.09,NO,1680554612
45,bandar-e lengeh,26.5579,54.8807,294.6,59,0,3.78,IR,1680554612
46,ballina,-28.8667,153.5667,291.36,89,97,4.98,AU,1680554612
47,albany,42.6001,-73.9662,290.5,31,72,2.68,US,1680554612
48,buluang,13.3068,123.3425,296.22,93,53,1.74,PH,1680554612
49,kapaa,22.0752,-159.319,298.14,82,0,4.63,US,1680554612
50,tautira,-17.7333,-149.15,300.89,71,38,1.95,PF,1680554612
51,bethel,41.3712,-73.414,288.72,43,0,5.14,US,1680554612
52,chokurdakh,70.6333,147.9167,258.1,96,96,4.26,RU,1680554613
53,botou,38.0667,116.5667,281.92,79,100,9.04,CN,1680554613
54,whitehorse,60.7161,-135.0538,270.43,52,40,1.03,CA,1680554613
55,bugarama,-2.8706,30.5281,288.02,96,100,0.64,TZ,1680554613
56,vera cruz,-12.6333,-41.0333,300.63,43,100,2.87,BR,1680554465
57,nemuro,43.3236,145.575,274.38,62,3,3.2,JP,1680554613
58,port elizabeth,-33.918,25.5701,291.31,84,0,8.75,ZA,1680554613
59,cidreira,-30.1811,-50.2056,295.84,72,27,6.18,BR,1680554613
60,stokmarknes,68.5646,14.9108,277.13,81,75,7.2,NO,1680554614
61,bira,49.0,132.4667,273.83,50,84,5.27,RU,1680554614
62,porto belo,-27.1578,-48.5531,297.12,73,0,5.62,BR,1680554614
63,dunedin,-45.8742,170.5036,288.04,73,76,2.68,NZ,1680554614
64,hami,42.8,93.45,273.69,69,100,5.87,CN,1680554614
65,bloomington,44.8408,-93.2983,280.03,62,75,3.6,US,1680554508
66,marshall,34.3834,-86.3333,290.99,91,100,2.06,US,1680554402
67,victoria,22.2855,114.1577,297.01,95,89,1.34,HK,1680554614
68,hualmay,-11.0964,-77.6139,299.72,72,88,4.14,PE,1680554614
69,fortuna,40.5982,-124.1573,282.55,74,83,3.13,US,1680554615
70,santa maria,-29.6842,-53.8069,301.76,42,0,2.06,BR,1680554615
71,severo-kurilsk,50.6789,156.125,273.17,91,77,6.31,RU,1680554615
72,barrow,71.2906,-156.7887,256.16,85,100,5.66,US,1680554615
73,vigrestad,58.5667,5.7,275.97,77,100,0.45,NO,1680554615
74,duku,11.2361,4.9073,305.32,9,28,1.1,NG,1680554615
75,hilo,19.7297,-155.09,298.86,74,100,2.68,US,1680554616
76,asau,46.4333,26.4,276.66,90,100,2.54,RO,1680554616
77,dikson,73.5069,80.5464,245.66,99,100,4.99,RU,1680554616
78,saint-philippe,-21.3585,55.7679,296.92,81,100,4.74,RE,1680554616
79,muros,42.7762,-9.0603,286.95,87,100,3.81,ES,1680554616
80,luena,-11.7833,19.9167,290.15,97,100,1.57,AO,1680554616
81,leningradskiy,69.3833,178.4167,246.49,91,8,1.31,RU,1680554616
82,upernavik,72.7868,-56.1549,247.89,96,60,1.79,GL,1680554616
83,tucuman,-26.8241,-65.2226,296.15,88,75,2.57,AR,1680554380
84,faanui,-16.4833,-151.75,301.02,71,46,3.1,PF,1680554617
85,nouakchott,18.0858,-15.9785,303.11,41,12,7.41,MR,1680554556
86,padang,-0.9492,100.3543,297.87,87,100,1.23,ID,1680554617
87,kalmunai,7.4167,81.8167,298.66,84,0,2.54,LK,1680554617
88,altamont,42.2068,-121.7372,275.87,54,75,8.23,US,1680554617
89,cayenne,4.9333,-52.3333,301.17,65,20,5.14,GF,1680554412
90,hobart,-42.8794,147.3294,284.29,91,75,2.06,AU,1680554617
91,vardo,70.3705,31.1107,271.14,80,100,13.89,NO,1680554617
92,lavrentiya,65.5833,-171.0,258.27,85,96,3.57,RU,1680554617
93,sovetskaya gavan,48.9723,140.2878,275.18,88,100,3.14,RU,1680554618
94,sept-iles,50.2001,-66.3821,272.62,60,75,6.17,CA,1680554403
95,port blair,11.6667,92.75,300.17,78,20,1.03,IN,1680554618
96,mount gambier,-37.8333,140.7667,283.22,95,100,1.32,AU,1680554618
97,killybegs,54.6333,-8.45,282.18,84,100,7.3,IE,1680554618
98,garowe,8.4054,48.4845,298.92,66,69,6.53,SO,1680554618
99,coos bay,43.3665,-124.2179,280.5,87,100,2.57,US,1680554442
100,fort-shevchenko,44.5086,50.263,281.44,83,64,1.42,KZ,1680554618
101,doha,25.2867,51.5333,294.14,50,0,6.17,QA,1680554506
102,bageshwar,29.85,79.7667,285.76,69,86,1.76,IN,1680554619
103,kalangala,-0.3089,32.225,291.79,85,89,8.26,UG,1680554619
104,narsaq,60.9167,-46.05,281.27,80,100,3.18,GL,1680554619
105,mabaruma,8.2,-59.7833,300.63,66,64,3.43,GY,1680554619
106,vao,-22.6667,167.4833,298.75,83,63,4.76,NC,1680554619
107,lakatoro,-16.0999,167.4164,301.4,76,76,3.96,VU,1680554619
108,yamoussoukro,6.8206,-5.2767,301.09,78,0,1.03,CI,1680554620
109,atuona,-9.8,-139.0333,299.77,83,94,7.2,PF,1680554620
110,storsteinnes,69.2408,19.2344,275.51,99,100,2.35,NO,1680554620
111,ponta do sol,32.6667,-17.1,291.5,63,38,4.8,PT,1680554620
112,eatonton,33.3268,-83.3885,292.04,83,100,2.31,US,1680554455
113,arraial do cabo,-22.9661,-42.0278,299.13,65,40,4.63,BR,1680554620
114,ayagoz,47.9714,80.4392,270.68,38,0,7.53,KZ,1680554620
115,ucluelet,48.9329,-125.5528,281.32,74,5,1.34,CA,1680554620
116,khatanga,71.9667,102.5,246.23,96,98,4.37,RU,1680554621
117,turkan,40.3639,50.215,280.25,93,40,2.06,AZ,1680554621
118,kavieng,-2.5744,150.7967,300.48,76,100,1.88,PG,1680554621
119,anadyr,64.75,177.4833,247.59,75,0,3.0,RU,1680554621
120,tigil,57.8,158.6667,264.85,88,100,1.05,RU,1680554621
121,lao cai,22.4833,103.95,296.27,69,62,0.47,VN,1680554622
122,san andres,12.5847,-81.7006,304.16,58,20,6.17,CO,1680554622
123,sioux lookout,50.1001,-91.917,270.19,50,40,3.6,CA,1680554448
